Wavelength,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11,reference_12
432.000000,0.279484,0.512104,0.232585,0.489811,0.218999,0.463222,0.317713,0.377418,0.379614,0.198723,0.420700,0.326624
434.000000,0.278680,0.513045,0.232522,0.490798,0.219509,0.461427,0.317946,0.379069,0.380396,0.199523,0.419459,0.327060
436.000000,0.279550,0.511001,0.233361,0.488800,0.218052,0.461222,0.320416,0.380374,0.378946,0.199291,0.421546,0.325636
438.000000,0.279280,0.512038,0.231803,0.490841,0.219695,0.461465,0.319731,0.379817,0.379248,0.199698,0.421984,0.328440
440.000000,0.281080,0.512653,0.232802,0.491540,0.220003,0.464969,0.320092,0.381541,0.380450,0.201451,0.421028,0.328306
442.000000,0.280702,0.513690,0.232390,0.492665,0.219438,0.462169,0.320638,0.379964,0.379371,0.198698,0.421608,0.326835
444.000000,0.279754,0.513337,0.235024,0.491730,0.220653,0.463158,0.322508,0.381204,0.378802,0.200294,0.423017,0.326729
446.000000,0.281732,0.514149,0.233606,0.490686,0.219984,0.462673,0.322723,0.381925,0.381863,0.201124,0.422314,0.327425
448.000000,0.283972,0.515522,0.235928,0.492905,0.222058,0.462016,0.318866,0.381320,0.381471,0.200563,0.423509,0.327751
450.000000,0.279867,0.514655,0.235196,0.492263,0.223375,0.462213,0.320779,0.382417,0.383230,0.202288,0.423623,0.328522
452.000000,0.281816,0.513415,0.235680,0.493855,0.220726,0.465692,0.320757,0.382402,0.383778,0.201997,0.423019,0.328357
454.000000,0.282199,0.514503,0.234939,0.493645,0.220189,0.465451,0.323121,0.385943,0.381581,0.201008,0.424903,0.328721
456.000000,0.282252,0.515606,0.236641,0.492402,0.224225,0.463922,0.322277,0.382619,0.382962,0.203891,0.426141,0.327220
458.000000,0.283631,0.514480,0.234650,0.493591,0.223192,0.464257,0.322648,0.382730,0.382296,0.201678,0.425156,0.328036
460.000000,0.282785,0.515539,0.235112,0.495702,0.221782,0.466009,0.322707,0.384671,0.380931,0.201719,0.424702,0.328593
462.000000,0.284070,0.516094,0.237600,0.495617,0.222459,0.464847,0.324476,0.381670,0.384282,0.204150,0.425652,0.326614
464.000000,0.284111,0.516083,0.238107,0.494901,0.224078,0.464358,0.322622,0.386089,0.383108,0.203119,0.424148,0.329069
466.000000,0.282719,0.515190,0.236974,0.493910,0.223526,0.465014,0.326083,0.383722,0.382902,0.204442,0.424702,0.329567
468.000000,0.282841,0.516519,0.236040,0.495162,0.223355,0.465699,0.321627,0.384925,0.384774,0.203932,0.424456,0.331590
470.000000,0.285960,0.515259,0.238162,0.496764,0.224345,0.464851,0.322406,0.383014,0.384125,0.202844,0.428680,0.330378
472.000000,0.284201,0.518608,0.237093,0.497175,0.221902,0.466721,0.324388,0.386533,0.383850,0.203570,0.426221,0.328668
474.000000,0.284704,0.518410,0.237391,0.496226,0.222651,0.466781,0.323912,0.385348,0.382498,0.205839,0.427260,0.330356
476.000000,0.286362,0.517725,0.236491,0.496962,0.225620,0.467141,0.323752,0.385681,0.383774,0.202357,0.426910,0.330098
478.000000,0.285671,0.517339,0.237538,0.496209,0.223870,0.467488,0.325252,0.384889,0.384719,0.202842,0.427535,0.329039
480.000000,0.284567,0.517887,0.237962,0.498385,0.224788,0.467895,0.325462,0.385683,0.384845,0.204618,0.429144,0.330176
482.000000,0.285052,0.518712,0.236102,0.497585,0.224472,0.466913,0.322801,0.386224,0.382285,0.203919,0.428070,0.331552
484.000000,0.286639,0.516095,0.238087,0.495777,0.226575,0.467284,0.324547,0.385796,0.385253,0.204788,0.426962,0.330717
486.000000,0.287105,0.520208,0.240575,0.497642,0.224220,0.466189,0.325847,0.385932,0.386767,0.204453,0.426865,0.330849
488.000000,0.285561,0.520107,0.238121,0.495573,0.226233,0.466548,0.326448,0.386060,0.384048,0.205882,0.427102,0.331084
490.000000,0.287394,0.519133,0.237876,0.499989,0.226634,0.467803,0.329741,0.387085,0.385750,0.203768,0.427516,0.328957
492.000000,0.285836,0.517653,0.238670,0.496256,0.226458,0.467760,0.325361,0.385736,0.385708,0.205108,0.428983,0.331091
494.000000,0.286551,0.518196,0.239668,0.498358,0.225557,0.468175,0.325763,0.387434,0.387099,0.204819,0.431284,0.329990
496.000000,0.285207,0.518639,0.238433,0.497465,0.227252,0.467179,0.326067,0.385596,0.386796,0.205675,0.429078,0.330712
498.000000,0.286409,0.518341,0.238080,0.498782,0.227551,0.467130,0.327565,0.387123,0.387467,0.205160,0.429655,0.332135
500.000000,0.287260,0.519370,0.238682,0.499658,0.226651,0.468723,0.326016,0.386877,0.385356,0.203505,0.431093,0.331505
502.000000,0.287258,0.520729,0.239782,0.499138,0.225727,0.467004,0.328336,0.386190,0.387304,0.204913,0.428724,0.329892
504.000000,0.287740,0.518405,0.237731,0.498219,0.226944,0.468144,0.327269,0.385656,0.387227,0.207334,0.429829,0.331329
506.000000,0.286386,0.518116,0.237418,0.498586,0.227158,0.469234,0.327161,0.385902,0.384763,0.207755,0.428502,0.331675
508.000000,0.287008,0.519860,0.238240,0.499598,0.225202,0.468098,0.326272,0.386457,0.388343,0.205524,0.429324,0.331214
510.000000,0.287203,0.519294,0.239507,0.497683,0.227362,0.469736,0.326951,0.387476,0.387627,0.206664,0.429249,0.331214
512.000000,0.289103,0.519243,0.239493,0.499221,0.226906,0.469214,0.328730,0.388495,0.386266,0.207220,0.428822,0.330447
514.000000,0.286268,0.519329,0.238485,0.500328,0.227540,0.468547,0.328051,0.387380,0.388599,0.206193,0.429520,0.331435
516.000000,0.287274,0.518041,0.239165,0.500259,0.227291,0.466739,0.328132,0.387568,0.387089,0.205518,0.430513,0.332883
518.000000,0.287520,0.518843,0.238338,0.500277,0.228471,0.467825,0.328815,0.386569,0.387554,0.204714,0.428092,0.330663
520.000000,0.290821,0.518774,0.238872,0.499650,0.227002,0.467740,0.325687,0.388535,0.387328,0.205118,0.430208,0.330621
522.000000,0.288381,0.518378,0.240170,0.501293,0.227155,0.469101,0.326567,0.387936,0.388384,0.206201,0.430004,0.330750
524.000000,0.287774,0.518398,0.239816,0.497977,0.228486,0.469331,0.328961,0.388150,0.385011,0.206641,0.428314,0.330234
526.000000,0.287934,0.519325,0.238707,0.499623,0.228850,0.468531,0.327896,0.385494,0.387546,0.206961,0.429817,0.330219
528.000000,0.286362,0.517318,0.239630,0.496729,0.226522,0.468232,0.326708,0.387610,0.386487,0.206169,0.428967,0.331600
530.000000,0.288077,0.518477,0.238659,0.500430,0.227412,0.467913,0.329613,0.388899,0.387752,0.206591,0.430610,0.330981
532.000000,0.289302,0.518328,0.238488,0.499582,0.228151,0.469779,0.328302,0.389280,0.388012,0.205644,0.429393,0.330979
534.000000,0.287848,0.519231,0.240749,0.499068,0.228991,0.468928,0.329523,0.387708,0.386870,0.207038,0.432043,0.330802
536.000000,0.287585,0.519897,0.240310,0.500670,0.228600,0.469616,0.327719,0.387868,0.388663,0.206649,0.430489,0.332061
538.000000,0.287768,0.518915,0.239975,0.500883,0.227677,0.468698,0.327848,0.388241,0.386429,0.205444,0.431844,0.327990
540.000000,0.288927,0.519640,0.238208,0.497608,0.227895,0.469992,0.326699,0.388895,0.387080,0.206897,0.430065,0.331684
542.000000,0.288722,0.520445,0.238004,0.499472,0.229326,0.469358,0.328679,0.387944,0.385786,0.206765,0.428913,0.330648
544.000000,0.289250,0.520743,0.238548,0.501492,0.229008,0.467758,0.327198,0.387026,0.387972,0.204571,0.429809,0.332356
546.000000,0.288328,0.516999,0.237965,0.498682,0.227934,0.467304,0.327367,0.385794,0.388220,0.203963,0.432198,0.330655
548.000000,0.288865,0.518931,0.240494,0.499127,0.228169,0.467741,0.329135,0.387950,0.388063,0.206229,0.430230,0.330270
550.000000,0.287221,0.520393,0.238497,0.498777,0.228293,0.469060,0.328159,0.387442,0.385881,0.204911,0.429728,0.329981
552.000000,0.288237,0.515249,0.238967,0.500315,0.227587,0.468469,0.328040,0.387669,0.388233,0.205274,0.432508,0.331116
554.000000,0.286961,0.518125,0.238578,0.500150,0.226744,0.468200,0.327713,0.387077,0.386972,0.205233,0.428864,0.330094
556.000000,0.287423,0.518765,0.237912,0.499719,0.227373,0.468164,0.327444,0.388146,0.387141,0.205070,0.431231,0.332003
558.000000,0.287142,0.519848,0.236363,0.500638,0.228471,0.467514,0.327558,0.388422,0.387672,0.203580,0.430765,0.330978
560.000000,0.287871,0.519054,0.237434,0.499341,0.227768,0.468487,0.327977,0.386173,0.387131,0.205350,0.427286,0.330747
562.000000,0.289033,0.519699,0.237085,0.500103,0.226383,0.467763,0.328188,0.388067,0.388035,0.204679,0.431349,0.330135
564.000000,0.288322,0.517610,0.237521,0.499810,0.227007,0.468970,0.327549,0.386846,0.387235,0.205500,0.431196,0.330818
566.000000,0.286732,0.518390,0.238338,0.500710,0.228704,0.466406,0.326957,0.389302,0.386235,0.205138,0.431169,0.331024
568.000000,0.288403,0.519079,0.237438,0.501505,0.228349,0.467731,0.329415,0.388087,0.387538,0.204774,0.430983,0.328937
570.000000,0.289915,0.520839,0.237260,0.499939,0.229282,0.467204,0.328873,0.388324,0.387818,0.204831,0.429561,0.330744
572.000000,0.288991,0.518797,0.234906,0.499601,0.226676,0.467669,0.328504,0.387098,0.385405,0.206324,0.429520,0.328642
574.000000,0.288281,0.517707,0.238673,0.500891,0.226898,0.469592,0.328880,0.388862,0.386343,0.204715,0.430720,0.330175
576.000000,0.288676,0.517128,0.237280,0.499236,0.228198,0.466697,0.327537,0.388433,0.384575,0.202786,0.430378,0.329465
578.000000,0.288595,0.518400,0.235904,0.500321,0.227074,0.467423,0.325835,0.388910,0.384621,0.205324,0.429365,0.327357
580.000000,0.287580,0.518458,0.237565,0.498315,0.227803,0.466712,0.327895,0.385904,0.385879,0.203157,0.429999,0.329453
582.000000,0.286760,0.519078,0.238935,0.498910,0.229122,0.466301,0.326004,0.384765,0.386020,0.203908,0.427981,0.327334
584.000000,0.289032,0.516339,0.235418,0.499352,0.225662,0.466089,0.328308,0.385530,0.384887,0.204935,0.428120,0.329178
586.000000,0.287135,0.517580,0.236766,0.500370,0.227712,0.466986,0.326479,0.387445,0.386725,0.203464,0.429912,0.327214
588.000000,0.287856,0.518402,0.234778,0.498259,0.226551,0.465608,0.324762,0.386914,0.384354,0.203337,0.427869,0.327375
590.000000,0.286346,0.516615,0.235111,0.497294,0.227257,0.465977,0.327236,0.386882,0.385599,0.203510,0.430235,0.325648
592.000000,0.288236,0.517514,0.234379,0.497335,0.227482,0.465368,0.326141,0.385512,0.384493,0.202264,0.428758,0.325147
594.000000,0.282776,0.514759,0.233692,0.499114,0.223793,0.465519,0.326624,0.384967,0.384604,0.199403,0.428119,0.325406
596.000000,0.285176,0.514619,0.234105,0.497749,0.225075,0.463917,0.325009,0.385121,0.383438,0.198468,0.426438,0.324940
598.000000,0.282090,0.514238,0.234373,0.498069,0.224727,0.462103,0.325660,0.386492,0.381579,0.200895,0.429414,0.326849
600.000000,0.286296,0.514825,0.231352,0.499295,0.225491,0.462835,0.323640,0.385236,0.381569,0.202291,0.427145,0.324793
602.000000,0.283543,0.513520,0.231693,0.497101,0.224728,0.462531,0.323319,0.383325,0.379798,0.199848,0.425302,0.322352
604.000000,0.284824,0.513706,0.228659,0.496271,0.223795,0.460748,0.322692,0.384105,0.381615,0.200235,0.424848,0.324321
606.000000,0.282449,0.511671,0.229347,0.495765,0.221794,0.460129,0.322740,0.382235,0.378290,0.198766,0.422108,0.323548
608.000000,0.281565,0.511354,0.228071,0.494075,0.220528,0.457261,0.320806,0.382994,0.378561,0.196355,0.424049,0.321660
610.000000,0.281012,0.510532,0.227862,0.493457,0.221280,0.456995,0.317594,0.381495,0.378128,0.194876,0.421648,0.322589
612.000000,0.280250,0.508202,0.226631,0.491988,0.222089,0.457116,0.318080,0.380166,0.376814,0.195467,0.419559,0.320021
614.000000,0.280749,0.507433,0.225646,0.493127,0.217991,0.454689,0.316297,0.381739,0.372336,0.192664,0.420439,0.321420
616.000000,0.277688,0.508006,0.222610,0.490893,0.216019,0.454007,0.314266,0.378270,0.372064,0.191626,0.418530,0.318169
618.000000,0.275287,0.504511,0.221005,0.487968,0.215931,0.449398,0.311846,0.378577,0.369740,0.190239,0.415831,0.317685
620.000000,0.275453,0.503355,0.217686,0.490054,0.214597,0.446627,0.309627,0.377937,0.368139,0.190228,0.413974,0.316112
622.000000,0.276214,0.501042,0.216825,0.486518,0.214733,0.446019,0.308387,0.375944,0.365971,0.187800,0.409872,0.315691
624.000000,0.274861,0.498299,0.212935,0.484966,0.211150,0.442811,0.304997,0.376699,0.364245,0.183749,0.409660,0.313709
626.000000,0.270959,0.496127,0.212048,0.484997,0.207268,0.441276,0.302853,0.372831,0.359253,0.182425,0.407487,0.311890
628.000000,0.267676,0.495372,0.207766,0.482509,0.207129,0.438119,0.299404,0.370296,0.356330,0.179374,0.401948,0.308501
630.000000,0.265314,0.491134,0.204639,0.480352,0.203511,0.432273,0.296383,0.368724,0.353703,0.179140,0.400825,0.307496
632.000000,0.264759,0.488987,0.202494,0.478423,0.201972,0.429495,0.292021,0.369031,0.349935,0.174371,0.397062,0.307045
634.000000,0.262521,0.486495,0.196426,0.476202,0.199020,0.423717,0.289302,0.365451,0.346580,0.169126,0.394087,0.301127
636.000000,0.258896,0.484728,0.192231,0.474655,0.195690,0.422566,0.282994,0.362200,0.342526,0.166527,0.391026,0.299727
638.000000,0.257033,0.478302,0.190003,0.470366,0.193532,0.418097,0.280013,0.361032,0.341258,0.163474,0.387681,0.298721
640.000000,0.255450,0.476320,0.185542,0.467965,0.190634,0.414179,0.276613,0.359777,0.334512,0.161764,0.381678,0.295626
642.000000,0.251456,0.473055,0.180578,0.464791,0.186289,0.410024,0.273481,0.356672,0.330172,0.157752,0.378819,0.291659
644.000000,0.248358,0.469888,0.176982,0.462121,0.182597,0.403607,0.267516,0.355374,0.324785,0.152263,0.373819,0.286842
646.000000,0.246275,0.464141,0.171224,0.461198,0.182077,0.399747,0.262917,0.352488,0.318618,0.150380,0.368519,0.286263
648.000000,0.241468,0.463099,0.165024,0.456882,0.175769,0.394387,0.257414,0.349764,0.313598,0.143365,0.364827,0.283101
650.000000,0.239706,0.456903,0.160715,0.453912,0.173110,0.388658,0.252963,0.345768,0.309333,0.140831,0.359273,0.278210
652.000000,0.236820,0.455661,0.155901,0.451296,0.169119,0.383381,0.247091,0.344274,0.306315,0.135934,0.356410,0.277453
654.000000,0.233444,0.448580,0.149947,0.447717,0.167906,0.379367,0.244595,0.342181,0.300650,0.133255,0.351173,0.273192
656.000000,0.230148,0.445032,0.147855,0.444439,0.163643,0.375285,0.238075,0.339996,0.295825,0.128942,0.345884,0.270093
658.000000,0.227512,0.441689,0.140776,0.441496,0.159777,0.369526,0.234581,0.337674,0.293164,0.126665,0.341299,0.269035
660.000000,0.225847,0.438820,0.137806,0.437861,0.155500,0.364943,0.229518,0.334850,0.285422,0.121507,0.337977,0.264521
662.000000,0.219698,0.435598,0.131743,0.436259,0.152182,0.360497,0.223979,0.333610,0.280735,0.117327,0.334575,0.263386
664.000000,0.220605,0.433695,0.128941,0.434482,0.149648,0.356290,0.220166,0.332021,0.278363,0.115181,0.329583,0.259245
666.000000,0.217310,0.430552,0.125766,0.431770,0.145132,0.352508,0.218237,0.328980,0.275705,0.111009,0.328752,0.258233
668.000000,0.214764,0.425916,0.123385,0.430941,0.145411,0.349344,0.214340,0.326247,0.270884,0.110466,0.322194,0.256366
670.000000,0.213735,0.424584,0.118314,0.427622,0.144821,0.346653,0.211412,0.325093,0.268409,0.107815,0.321409,0.254795
672.000000,0.212634,0.423943,0.116281,0.427416,0.142806,0.344391,0.209341,0.323869,0.266664,0.106090,0.319375,0.252881
674.000000,0.211728,0.420837,0.115593,0.425770,0.139838,0.342521,0.208974,0.323919,0.264146,0.103088,0.316236,0.250698
676.000000,0.209475,0.421112,0.110685,0.425462,0.138907,0.338112,0.205898,0.323255,0.262251,0.101270,0.316856,0.250458
678.000000,0.208465,0.418800,0.113083,0.423559,0.137778,0.340450,0.206239,0.322196,0.264238,0.101615,0.315674,0.250230
680.000000,0.209056,0.419411,0.111955,0.421942,0.137061,0.337537,0.205441,0.321464,0.262007,0.100175,0.316730,0.250923
682.000000,0.208002,0.419738,0.113608,0.423897,0.137687,0.339674,0.206676,0.321580,0.263174,0.100843,0.315432,0.250546
684.000000,0.211085,0.422154,0.113268,0.424602,0.139089,0.339905,0.206054,0.323399,0.263441,0.101474,0.315167,0.250624
686.000000,0.213791,0.420441,0.115218,0.425379,0.140219,0.341753,0.207132,0.322561,0.263193,0.100674,0.316589,0.250183
688.000000,0.210190,0.422324,0.115317,0.427242,0.140697,0.342220,0.207611,0.324054,0.266111,0.102812,0.316218,0.248805
690.000000,0.214050,0.423831,0.118540,0.427519,0.142394,0.345402,0.210786,0.324007,0.267366,0.103407,0.320942,0.252294
692.000000,0.214635,0.426221,0.119651,0.429892,0.143378,0.346991,0.213464,0.326116,0.268816,0.107401,0.321238,0.254014
694.000000,0.215682,0.429370,0.124214,0.429498,0.146372,0.352242,0.215827,0.326259,0.272580,0.108196,0.324392,0.254047
696.000000,0.218711,0.431430,0.127498,0.433002,0.148086,0.352802,0.219642,0.327551,0.276817,0.111598,0.329607,0.257407
698.000000,0.220988,0.433110,0.129086,0.435309,0.151360,0.358071,0.222979,0.329741,0.280501,0.114467,0.333540,0.259215
700.000000,0.222793,0.436507,0.133993,0.435511,0.153753,0.362169,0.228197,0.333935,0.284086,0.118285,0.334528,0.260572
702.000000,0.224380,0.440899,0.137905,0.439874,0.157202,0.366251,0.231056,0.334885,0.290273,0.119353,0.339977,0.263067
704.000000,0.227837,0.442770,0.141944,0.443360,0.160987,0.371419,0.236741,0.335466,0.291600,0.123635,0.344086,0.266744
706.000000,0.229312,0.446599,0.145989,0.446073,0.162590,0.374555,0.241320,0.338913,0.295992,0.127208,0.349517,0.270600
708.000000,0.233932,0.450086,0.150978,0.448451,0.166063,0.378847,0.243431,0.341652,0.301435,0.132053,0.352281,0.271761
710.000000,0.235835,0.452466,0.155126,0.450619,0.168285,0.383238,0.251799,0.343199,0.306729,0.135920,0.355411,0.273238
712.000000,0.240018,0.456994,0.158953,0.452946,0.172347,0.387092,0.254347,0.345388,0.311002,0.139956,0.362196,0.278235
714.000000,0.241909,0.459880,0.164546,0.455946,0.174517,0.393113,0.259034,0.349301,0.315572,0.141378,0.364963,0.282846
716.000000,0.244456,0.463285,0.169808,0.456684,0.179560,0.398322,0.262928,0.350872,0.321474,0.144517,0.369407,0.283325
718.000000,0.246458,0.467293,0.174561,0.462356,0.183466,0.402872,0.269011,0.350668,0.322406,0.150185,0.373324,0.285398
720.000000,0.250507,0.469550,0.177369,0.464117,0.185952,0.406949,0.271558,0.354207,0.329813,0.152978,0.379788,0.287169
722.000000,0.252714,0.473702,0.181643,0.465943,0.189650,0.410455,0.276044,0.356597,0.333830,0.155726,0.382664,0.289165
724.000000,0.254603,0.476262,0.185174,0.467952,0.192525,0.416243,0.279335,0.359192,0.337606,0.159443,0.385903,0.289412
726.000000,0.257165,0.480678,0.187602,0.468196,0.193497,0.420682,0.282986,0.359567,0.341239,0.162545,0.390108,0.294666
728.000000,0.260323,0.482048,0.191791,0.474342,0.198918,0.423062,0.289690,0.360435,0.344620,0.165265,0.392610,0.295589
730.000000,0.261194,0.485142,0.197663,0.475722,0.199459,0.426012,0.290654,0.362610,0.347922,0.170780,0.396926,0.298015
732.000000,0.262316,0.486273,0.198635,0.477276,0.203047,0.429865,0.293065,0.365288,0.351141,0.170449,0.398113,0.301214
734.000000,0.265662,0.487886,0.200903,0.476466,0.202617,0.431936,0.295944,0.368103,0.353487,0.174881,0.401574,0.299977
736.000000,0.266808,0.490581,0.204504,0.480353,0.207226,0.434646,0.300273,0.368442,0.354579,0.174893,0.404942,0.302467
738.000000,0.266728,0.493889,0.205551,0.481516,0.206748,0.435944,0.302989,0.368166,0.359441,0.176167,0.406831,0.304482
740.000000,0.272236,0.495866,0.209821,0.481909,0.208845,0.440313,0.303660,0.369581,0.360134,0.179119,0.409467,0.306250
742.000000,0.270058,0.497264,0.211442,0.482103,0.209704,0.442528,0.306030,0.368365,0.362939,0.179628,0.409387,0.304826
744.000000,0.271593,0.496820,0.211288,0.483112,0.211385,0.444476,0.309490,0.371072,0.365412,0.181391,0.412482,0.306256
746.000000,0.271106,0.499032,0.212987,0.485623,0.212647,0.445867,0.309759,0.372945,0.366437,0.181611,0.414514,0.307227
748.000000,0.273351,0.500852,0.215200,0.486203,0.213647,0.446905,0.312632,0.372711,0.366909,0.184122,0.413772,0.309184
750.000000,0.273555,0.500082,0.215962,0.485964,0.214449,0.446203,0.313975,0.373495,0.368662,0.185888,0.417266,0.311657
752.000000,0.274380,0.501421,0.217454,0.488096,0.214124,0.449058,0.313213,0.374620,0.368210,0.184853,0.416524,0.310285
754.000000,0.274337,0.501316,0.218723,0.490522,0.216887,0.449024,0.316007,0.374545,0.368928,0.187700,0.418387,0.310134
756.000000,0.275582,0.502652,0.217516,0.488823,0.214827,0.450346,0.316125,0.374203,0.371191,0.186272,0.417921,0.310997
758.000000,0.275882,0.503892,0.220512,0.490543,0.216378,0.450606,0.315648,0.377241,0.371085,0.189275,0.417888,0.310106
760.000000,0.276168,0.505234,0.218454,0.488539,0.218456,0.451574,0.317832,0.377033,0.373046,0.190002,0.419376,0.310953
762.000000,0.276515,0.502773,0.221704,0.489416,0.219213,0.452648,0.316969,0.377261,0.373561,0.186556,0.419749,0.311830
764.000000,0.276137,0.503628,0.221773,0.490477,0.216739,0.451428,0.319505,0.374360,0.374630,0.191383,0.420173,0.312104
766.000000,0.275733,0.504135,0.221659,0.491339,0.217914,0.455973,0.318832,0.375773,0.374062,0.190389,0.421838,0.312384
768.000000,0.277224,0.505119,0.220919,0.489864,0.217332,0.453035,0.317671,0.377855,0.376568,0.190917,0.421445,0.312713
770.000000,0.279856,0.504883,0.222499,0.491462,0.219354,0.452989,0.321254,0.374907,0.376045,0.187725,0.422188,0.311683
772.000000,0.278699,0.506757,0.222879,0.489696,0.219046,0.455205,0.320451,0.375372,0.375293,0.189522,0.422379,0.312461
774.000000,0.277815,0.506368,0.221931,0.490640,0.219084,0.454802,0.320171,0.377214,0.375057,0.189453,0.422221,0.312825
776.000000,0.277183,0.507275,0.221539,0.491922,0.220654,0.453492,0.317755,0.375548,0.376675,0.192104,0.422120,0.310599
778.000000,0.278344,0.506078,0.221719,0.491424,0.218620,0.454527,0.318931,0.375304,0.376828,0.190356,0.421129,0.314654
780.000000,0.278627,0.505012,0.224000,0.491551,0.220762,0.454024,0.319848,0.377996,0.376011,0.190098,0.422794,0.311622
782.000000,0.278534,0.507043,0.222632,0.490419,0.220437,0.454852,0.320999,0.375238,0.377075,0.190075,0.421842,0.312802
784.000000,0.279770,0.505163,0.223277,0.490505,0.219966,0.454240,0.318620,0.377146,0.375568,0.191658,0.423936,0.313605
786.000000,0.278546,0.506419,0.222106,0.492922,0.219496,0.453419,0.321789,0.376208,0.376764,0.188561,0.422284,0.309017
788.000000,0.277399,0.506006,0.222250,0.490085,0.220359,0.454701,0.319367,0.378204,0.377021,0.190176,0.424193,0.313175
790.000000,0.279488,0.507168,0.221859,0.492195,0.220438,0.454347,0.319794,0.376228,0.375903,0.190216,0.424165,0.309986
792.000000,0.277506,0.506942,0.222499,0.491011,0.219626,0.454448,0.322128,0.376667,0.376122,0.189755,0.425509,0.310959
794.000000,0.278977,0.506269,0.224306,0.492077,0.220594,0.454375,0.321504,0.376851,0.376805,0.190085,0.422727,0.313575
796.000000,0.276542,0.503907,0.222421,0.491665,0.220894,0.456517,0.319347,0.376167,0.375796,0.191057,0.424253,0.312854
798.000000,0.279895,0.505400,0.223530,0.492387,0.220298,0.454162,0.321862,0.378059,0.377461,0.190216,0.421991,0.309098
800.000000,0.278180,0.505446,0.221870,0.493137,0.220305,0.454103,0.321010,0.377008,0.377400,0.191176,0.422700,0.311280
802.000000,0.278497,0.506915,0.222145,0.492080,0.220990,0.455294,0.322049,0.377708,0.376155,0.190171,0.421558,0.313290
804.000000,0.278857,0.504614,0.223580,0.491560,0.219708,0.454650,0.321463,0.377817,0.374095,0.191217,0.421662,0.313104
806.000000,0.278183,0.506457,0.223038,0.491697,0.219677,0.455099,0.320080,0.377456,0.374581,0.190802,0.421686,0.311580
808.000000,0.279940,0.505749,0.222304,0.492128,0.220012,0.454158,0.321556,0.375951,0.375170,0.190630,0.422565,0.312760
810.000000,0.279457,0.504927,0.222053,0.491681,0.219400,0.454752,0.322709,0.376676,0.378022,0.191148,0.423728,0.311637
812.000000,0.277048,0.506341,0.221769,0.492471,0.221683,0.455096,0.319771,0.378297,0.377713,0.191233,0.424407,0.312066
814.000000,0.280967,0.506120,0.222860,0.493243,0.222485,0.453429,0.320121,0.377106,0.375501,0.191787,0.422458,0.312534
816.000000,0.280722,0.506387,0.222780,0.491589,0.221344,0.455728,0.321589,0.378410,0.377239,0.190404,0.423738,0.310792
818.000000,0.279874,0.506868,0.223088,0.492718,0.220988,0.455663,0.321915,0.378676,0.377894,0.189899,0.422102,0.312165
820.000000,0.281441,0.506575,0.223646,0.492324,0.220543,0.455730,0.322437,0.378199,0.374971,0.190704,0.424561,0.312040
822.000000,0.280616,0.507331,0.221921,0.494298,0.221950,0.454064,0.321712,0.378265,0.376333,0.190734,0.425369,0.311441
824.000000,0.279431,0.506494,0.222445,0.492757,0.219865,0.455518,0.322046,0.377492,0.377317,0.192313,0.423914,0.311147
