Wavelength,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11,sample_12
416.000000,0.346542,0.393225,0.253079,0.293657,0.263569,0.363735,0.245098,0.518498,0.480980,0.549267,0.362227,0.501073
417.000000,0.345498,0.393135,0.251798,0.293426,0.263477,0.367280,0.245147,0.519163,0.480353,0.550571,0.360943,0.501830
418.000000,0.344969,0.392169,0.251184,0.295513,0.265222,0.364355,0.244710,0.520671,0.481455,0.549679,0.361467,0.503210
419.000000,0.345181,0.393830,0.252502,0.293507,0.262593,0.363780,0.245195,0.519907,0.480524,0.549840,0.362514,0.502639
420.000000,0.346850,0.392582,0.251660,0.295088,0.262708,0.363695,0.247377,0.519958,0.481263,0.548846,0.363279,0.500390
421.000000,0.347135,0.392975,0.251682,0.292810,0.264894,0.366655,0.244989,0.520418,0.482691,0.550620,0.363192,0.502450
422.000000,0.347125,0.392722,0.251262,0.293205,0.265182,0.365908,0.247008,0.521817,0.480991,0.549579,0.362302,0.502043
423.000000,0.346105,0.395135,0.253787,0.295109,0.265683,0.366644,0.246492,0.520337,0.480667,0.551769,0.363103,0.500828
424.000000,0.347189,0.394633,0.249995,0.295623,0.264931,0.365659,0.246845,0.521396,0.482097,0.550274,0.365038,0.502455
425.000000,0.347259,0.394768,0.253487,0.293732,0.264741,0.366837,0.246022,0.521251,0.482559,0.550869,0.364255,0.504279
426.000000,0.347544,0.395572,0.252378,0.294862,0.265839,0.364905,0.246554,0.522626,0.482120,0.553483,0.363732,0.503744
427.000000,0.348378,0.397298,0.252582,0.293604,0.265591,0.366085,0.247050,0.522830,0.483202,0.551166,0.363050,0.501721
428.000000,0.347910,0.392935,0.254834,0.294949,0.267767,0.366376,0.246684,0.520320,0.482184,0.551183,0.363542,0.502932
429.000000,0.348544,0.394062,0.252575,0.296111,0.266074,0.367637,0.247682,0.523372,0.482698,0.552358,0.364439,0.503592
430.000000,0.348108,0.394340,0.252754,0.294980,0.266526,0.366737,0.247953,0.521887,0.483128,0.550134,0.364885,0.501551
431.000000,0.348504,0.394258,0.253448,0.295306,0.269233,0.365954,0.249811,0.522902,0.483223,0.553316,0.365348,0.501764
432.000000,0.349019,0.394183,0.254134,0.294563,0.266740,0.366803,0.248058,0.521893,0.484728,0.553203,0.365343,0.503791
433.000000,0.347101,0.395110,0.253418,0.295181,0.267666,0.365221,0.246007,0.523368,0.483662,0.552876,0.364756,0.503979
434.000000,0.348408,0.394341,0.252424,0.297722,0.267929,0.364733,0.249220,0.525711,0.483165,0.549114,0.364784,0.502146
435.000000,0.348424,0.396039,0.253269,0.296169,0.268186,0.368040,0.247989,0.523448,0.484171,0.552371,0.367509,0.504545
436.000000,0.348421,0.395900,0.255551,0.295225,0.267914,0.366986,0.250339,0.523020,0.484825,0.551494,0.365071,0.505414
437.000000,0.348948,0.396472,0.254477,0.296041,0.267986,0.367251,0.249930,0.523406,0.484761,0.554026,0.364499,0.504276
438.000000,0.350880,0.396639,0.254985,0.294886,0.268059,0.368492,0.248084,0.522324,0.484875,0.554087,0.364314,0.504721
439.000000,0.348680,0.396873,0.254402,0.295595,0.267547,0.369206,0.249440,0.525396,0.482825,0.553554,0.365759,0.505397
440.000000,0.350672,0.396034,0.254132,0.298093,0.268611,0.368489,0.248251,0.524413,0.481996,0.552093,0.367210,0.505427
441.000000,0.348178,0.398664,0.256594,0.296712,0.270475,0.370026,0.248973,0.523201,0.485928,0.554918,0.365851,0.503480
442.000000,0.349680,0.396911,0.254853,0.298866,0.269816,0.368743,0.249770,0.523383,0.485253,0.553287,0.368059,0.504403
443.000000,0.350331,0.394946,0.254720,0.296998,0.269067,0.368683,0.250329,0.524561,0.484953,0.555479,0.366727,0.505070
444.000000,0.350906,0.395936,0.256380,0.297174,0.269774,0.368759,0.250231,0.525623,0.485827,0.554062,0.367995,0.504760
445.000000,0.351180,0.395326,0.254680,0.297966,0.268203,0.367370,0.249528,0.523683,0.487217,0.554424,0.366277,0.507242
446.000000,0.351410,0.397211,0.254925,0.294765,0.268964,0.369747,0.252053,0.526089,0.486858,0.553576,0.366440,0.506562
447.000000,0.350414,0.397196,0.255645,0.297754,0.270322,0.366478,0.249319,0.525024,0.486560,0.555560,0.367419,0.504968
448.000000,0.350444,0.396973,0.255749,0.297610,0.271010,0.368469,0.248190,0.524324,0.484862,0.554877,0.367955,0.506012
449.000000,0.351907,0.399573,0.256120,0.299253,0.268899,0.369208,0.248493,0.524922,0.485142,0.555825,0.367435,0.507503
450.000000,0.350998,0.398231,0.258062,0.298837,0.269331,0.368523,0.251491,0.527273,0.483660,0.554672,0.368047,0.505871
451.000000,0.350053,0.398525,0.256415,0.296843,0.272139,0.368987,0.250048,0.524269,0.486826,0.554557,0.368482,0.507513
452.000000,0.350332,0.396984,0.253807,0.299322,0.270195,0.371403,0.250390,0.525057,0.487445,0.555308,0.366610,0.508186
453.000000,0.350681,0.397030,0.256616,0.297918,0.272062,0.370790,0.249792,0.526870,0.487669,0.556262,0.367825,0.508158
454.000000,0.352232,0.398179,0.256430,0.297375,0.270584,0.369121,0.249984,0.526262,0.487295,0.555941,0.367780,0.507261
455.000000,0.352009,0.398426,0.256537,0.298574,0.270759,0.369457,0.249750,0.525380,0.486605,0.555166,0.367961,0.508467
456.000000,0.352687,0.396505,0.256839,0.298269,0.270342,0.368767,0.251107,0.527260,0.486332,0.553272,0.368968,0.506829
457.000000,0.351697,0.398288,0.256662,0.300104,0.271723,0.370864,0.250636,0.527430,0.486206,0.556039,0.368184,0.509970
458.000000,0.352410,0.398588,0.256734,0.298998,0.272269,0.370024,0.251263,0.526869,0.487002,0.553888,0.366810,0.507856
459.000000,0.353002,0.398463,0.257494,0.298954,0.270005,0.368419,0.251261,0.526044,0.486320,0.555457,0.368704,0.508891
460.000000,0.352190,0.397967,0.256431,0.299737,0.270815,0.370597,0.250588,0.526315,0.489184,0.555401,0.367999,0.507509
461.000000,0.353077,0.398341,0.256117,0.300016,0.272209,0.371044,0.249645,0.527174,0.486254,0.554192,0.369681,0.508497
462.000000,0.352078,0.398802,0.260177,0.299792,0.271288,0.371675,0.249646,0.525691,0.487486,0.556073,0.370110,0.508665
463.000000,0.352495,0.399166,0.256525,0.300511,0.271046,0.370744,0.254305,0.528442,0.485872,0.557944,0.367247,0.507315
464.000000,0.352593,0.399775,0.257426,0.299782,0.272670,0.370548,0.252842,0.528925,0.488229,0.555565,0.368764,0.507406
465.000000,0.351893,0.400345,0.255914,0.299421,0.272883,0.373009,0.252787,0.527097,0.488051,0.556729,0.370006,0.508279
466.000000,0.353689,0.399061,0.257609,0.300571,0.271447,0.371129,0.250854,0.527796,0.487817,0.558403,0.368356,0.509706
467.000000,0.352843,0.398989,0.256639,0.299317,0.272224,0.371941,0.251618,0.528731,0.487359,0.556992,0.370658,0.506885
468.000000,0.353435,0.399972,0.257209,0.299516,0.270917,0.370778,0.250871,0.529604,0.488411,0.555565,0.371034,0.508467
469.000000,0.354011,0.400231,0.258774,0.301278,0.271342,0.372103,0.250450,0.529307,0.487979,0.556526,0.369930,0.510252
470.000000,0.354082,0.399271,0.258276,0.301249,0.272472,0.370050,0.251248,0.526114,0.488500,0.556847,0.369424,0.507820
471.000000,0.354406,0.400579,0.258446,0.299689,0.272488,0.371135,0.253236,0.527632,0.490706,0.557876,0.367992,0.510415
472.000000,0.353744,0.400849,0.256178,0.299312,0.271596,0.370479,0.252822,0.528545,0.489030,0.557730,0.371219,0.508140
473.000000,0.353520,0.401241,0.259857,0.301295,0.271953,0.371171,0.251081,0.527645,0.489499,0.553818,0.372508,0.508457
474.000000,0.353963,0.401806,0.256896,0.300697,0.271707,0.373113,0.251804,0.530015,0.488608,0.555802,0.372400,0.509330
475.000000,0.352453,0.399238,0.259684,0.300275,0.273329,0.371335,0.252934,0.529953,0.488393,0.556657,0.370507,0.511452
476.000000,0.352789,0.400193,0.259242,0.299699,0.271007,0.372749,0.251678,0.527598,0.489257,0.555779,0.369705,0.509039
477.000000,0.353008,0.400263,0.258861,0.300412,0.272061,0.373629,0.252392,0.528339,0.491886,0.553160,0.371730,0.508045
478.000000,0.353426,0.400225,0.257491,0.300116,0.271307,0.372164,0.252775,0.527839,0.489194,0.556198,0.370857,0.508473
479.000000,0.354914,0.399744,0.258558,0.299530,0.273684,0.373264,0.252824,0.528478,0.489941,0.556982,0.371553,0.510902
480.000000,0.353698,0.398975,0.257994,0.300378,0.271556,0.372877,0.252745,0.528531,0.488847,0.556521,0.371467,0.508709
481.000000,0.354313,0.400620,0.258551,0.300567,0.273482,0.372538,0.251893,0.529792,0.487015,0.556108,0.371345,0.511343
482.000000,0.356076,0.399824,0.258327,0.299978,0.275180,0.373245,0.252051,0.528029,0.489074,0.557204,0.372366,0.510316
483.000000,0.354505,0.400741,0.256592,0.301307,0.275303,0.374406,0.251521,0.526379,0.492336,0.557561,0.372487,0.510302
484.000000,0.355681,0.399923,0.259804,0.301740,0.271910,0.371999,0.251144,0.527468,0.490640,0.556804,0.370981,0.510719
485.000000,0.354091,0.399677,0.258652,0.301468,0.274100,0.371745,0.252641,0.528119,0.491774,0.558696,0.370662,0.509706
486.000000,0.354899,0.401069,0.258297,0.300266,0.272896,0.371753,0.253620,0.528565,0.489872,0.557433,0.369165,0.510729
487.000000,0.354232,0.401042,0.258268,0.301341,0.272774,0.373831,0.251470,0.529479,0.487948,0.556553,0.371396,0.509480
488.000000,0.354919,0.401526,0.259233,0.300705,0.273934,0.374029,0.253168,0.528283,0.489280,0.556347,0.370724,0.512102
489.000000,0.356173,0.403186,0.258024,0.299431,0.275355,0.372425,0.253723,0.528220,0.490867,0.557304,0.372311,0.509805
490.000000,0.353678,0.401329,0.256705,0.301378,0.274804,0.370886,0.251143,0.528568,0.490788,0.558675,0.371629,0.511349
491.000000,0.355911,0.401587,0.259408,0.300888,0.273565,0.372406,0.252749,0.528447,0.490618,0.556781,0.371809,0.509951
492.000000,0.355784,0.400073,0.259559,0.303371,0.275059,0.373685,0.254704,0.529072,0.490175,0.558241,0.372918,0.510526
493.000000,0.355021,0.399911,0.258878,0.302268,0.272183,0.373126,0.253647,0.529092,0.491721,0.557779,0.372571,0.510758
494.000000,0.354235,0.402826,0.257966,0.301554,0.273744,0.373427,0.251260,0.530438,0.490353,0.559716,0.372124,0.514185
495.000000,0.355818,0.400364,0.259237,0.301123,0.273743,0.372776,0.253822,0.528819,0.491235,0.558149,0.373992,0.511258
496.000000,0.355280,0.400285,0.257716,0.301066,0.274713,0.374364,0.252448,0.529508,0.491193,0.557096,0.373107,0.510519
497.000000,0.356104,0.401331,0.258185,0.299926,0.274498,0.373743,0.253918,0.529377,0.490698,0.558563,0.372015,0.510962
498.000000,0.355954,0.401319,0.258491,0.299217,0.274624,0.374034,0.252565,0.530785,0.490253,0.558629,0.372119,0.509967
499.000000,0.357593,0.400544,0.260114,0.300107,0.274654,0.373652,0.253230,0.529874,0.490773,0.557492,0.373338,0.511372
500.000000,0.355809,0.401178,0.258934,0.300955,0.274913,0.374062,0.252771,0.531130,0.493138,0.556753,0.372809,0.513448
501.000000,0.355080,0.402747,0.258874,0.298918,0.275490,0.374039,0.253336,0.528977,0.492440,0.558480,0.371541,0.511993
502.000000,0.356337,0.400745,0.261300,0.300499,0.275158,0.372694,0.252789,0.530128,0.492410,0.558033,0.373611,0.512619
503.000000,0.356431,0.400189,0.259720,0.300814,0.274781,0.374035,0.253154,0.529648,0.490663,0.556477,0.374026,0.510862
504.000000,0.357621,0.402555,0.259727,0.300863,0.275523,0.374492,0.252222,0.529043,0.490070,0.558271,0.374001,0.511624
505.000000,0.357147,0.402133,0.259037,0.300431,0.276001,0.374893,0.253906,0.530245,0.492661,0.557400,0.374412,0.512086
506.000000,0.356717,0.401047,0.258828,0.300765,0.274672,0.374189,0.253608,0.532088,0.492524,0.556541,0.374986,0.511209
507.000000,0.357870,0.400111,0.257254,0.302843,0.275219,0.372842,0.251831,0.529543,0.491811,0.557722,0.374694,0.512386
508.000000,0.355263,0.400973,0.260424,0.301792,0.276490,0.373028,0.254454,0.530307,0.491355,0.559374,0.373349,0.512651
509.000000,0.355856,0.401685,0.259916,0.300578,0.274274,0.373436,0.253297,0.529160,0.490313,0.559314,0.372844,0.512626
510.000000,0.355611,0.402927,0.259301,0.301078,0.277228,0.374090,0.253646,0.529049,0.492694,0.559066,0.371265,0.511979
511.000000,0.356188,0.400744,0.259353,0.301124,0.274129,0.373806,0.254259,0.529756,0.493060,0.558401,0.373146,0.513266
512.000000,0.355241,0.401714,0.260235,0.300389,0.275166,0.372831,0.253830,0.530126,0.491242,0.558738,0.373693,0.511961
513.000000,0.357291,0.402491,0.257951,0.300391,0.274604,0.372851,0.254674,0.530203,0.491203,0.558250,0.373255,0.511912
514.000000,0.356470,0.399450,0.258922,0.302173,0.277783,0.371905,0.253220,0.530412,0.493250,0.557054,0.371360,0.513743
515.000000,0.355256,0.402878,0.258380,0.300743,0.275131,0.370907,0.254552,0.529019,0.491410,0.557260,0.372996,0.511234
516.000000,0.355745,0.400675,0.261290,0.300067,0.275171,0.373915,0.253642,0.530069,0.493871,0.557563,0.373962,0.510676
517.000000,0.357106,0.402200,0.260396,0.301116,0.275338,0.376387,0.254028,0.531223,0.492022,0.559575,0.372322,0.511548
518.000000,0.357661,0.402124,0.257318,0.301273,0.275839,0.375881,0.253923,0.529387,0.491783,0.559252,0.373545,0.512838
519.000000,0.358849,0.402970,0.258005,0.299177,0.275449,0.373123,0.254758,0.530414,0.492251,0.557096,0.373840,0.513768
520.000000,0.359794,0.402443,0.259384,0.301103,0.275676,0.374266,0.254236,0.531084,0.491854,0.558229,0.374554,0.511856
521.000000,0.357321,0.399521,0.259040,0.302003,0.272311,0.372666,0.253066,0.530029,0.493401,0.557771,0.375175,0.514363
522.000000,0.355943,0.401117,0.258182,0.301577,0.275927,0.372831,0.252862,0.531172,0.493193,0.558015,0.373110,0.512605
523.000000,0.354824,0.402043,0.261445,0.303345,0.275916,0.372957,0.253446,0.529327,0.493426,0.557629,0.373695,0.512490
524.000000,0.357246,0.401711,0.259804,0.302354,0.276963,0.373938,0.252727,0.531753,0.492552,0.559564,0.373748,0.511782
525.000000,0.356186,0.402383,0.259957,0.302538,0.277259,0.373990,0.252424,0.531245,0.491940,0.558132,0.374204,0.514609
526.000000,0.356604,0.402694,0.258779,0.303875,0.275786,0.374432,0.251337,0.530949,0.492414,0.558358,0.374111,0.512532
527.000000,0.356425,0.402510,0.260181,0.301817,0.276813,0.374848,0.251903,0.532030,0.492023,0.558356,0.375017,0.511373
528.000000,0.356914,0.401683,0.259065,0.301204,0.274917,0.373852,0.255423,0.530587,0.493939,0.557092,0.371278,0.515184
529.000000,0.358136,0.400046,0.259147,0.301996,0.276806,0.374228,0.252765,0.530308,0.493498,0.558215,0.374043,0.513140
530.000000,0.357242,0.401430,0.260025,0.300443,0.275484,0.373100,0.255308,0.532307,0.492426,0.559155,0.374126,0.513564
531.000000,0.356939,0.402294,0.257767,0.301088,0.274890,0.372850,0.253790,0.532782,0.491611,0.559549,0.373416,0.514464
532.000000,0.356074,0.400777,0.260975,0.300310,0.275905,0.372694,0.253317,0.530253,0.494097,0.556912,0.371399,0.513413
533.000000,0.355445,0.402488,0.259540,0.301332,0.277506,0.374840,0.251846,0.530838,0.492711,0.556523,0.373613,0.513788
534.000000,0.356643,0.402754,0.260617,0.300256,0.276300,0.373850,0.253329,0.532000,0.492460,0.558084,0.372972,0.512881
535.000000,0.357083,0.401959,0.258238,0.300195,0.277628,0.372312,0.255193,0.530878,0.494155,0.559110,0.375369,0.513573
536.000000,0.358911,0.398754,0.258366,0.301267,0.275393,0.374114,0.254834,0.531551,0.492109,0.558339,0.374072,0.512816
537.000000,0.357279,0.400524,0.258102,0.300687,0.277200,0.372921,0.253524,0.531737,0.492313,0.558636,0.372907,0.512840
538.000000,0.358135,0.403671,0.259488,0.298866,0.275508,0.375821,0.252074,0.530392,0.492412,0.556571,0.371654,0.512988
539.000000,0.356656,0.401220,0.259275,0.299307,0.276393,0.373572,0.252237,0.531370,0.491336,0.557333,0.374300,0.512479
540.000000,0.355972,0.399763,0.258716,0.299582,0.276390,0.374822,0.252312,0.530940,0.492977,0.555682,0.374407,0.513386
541.000000,0.356192,0.402961,0.258136,0.299812,0.276840,0.375217,0.254412,0.529724,0.491907,0.557707,0.373495,0.513388
542.000000,0.356431,0.401717,0.257852,0.301074,0.276433,0.373159,0.254734,0.529944,0.492105,0.555656,0.374314,0.513708
543.000000,0.359282,0.402786,0.259037,0.300842,0.275445,0.374175,0.253265,0.530273,0.491976,0.559122,0.373360,0.513531
544.000000,0.356329,0.401933,0.258586,0.301650,0.277066,0.374637,0.252731,0.531845,0.492097,0.559312,0.374772,0.514892
545.000000,0.357984,0.402089,0.258331,0.301299,0.277917,0.374182,0.254547,0.531867,0.491847,0.557864,0.374692,0.513945
546.000000,0.356236,0.401967,0.260527,0.301578,0.275600,0.374409,0.251983,0.531644,0.492935,0.556176,0.372055,0.512683
547.000000,0.358063,0.402273,0.258860,0.301072,0.274346,0.372698,0.252975,0.531321,0.492532,0.558029,0.372292,0.513340
548.000000,0.357508,0.403823,0.260173,0.300631,0.276677,0.374561,0.253347,0.531280,0.492734,0.559475,0.375710,0.514296
549.000000,0.356957,0.402486,0.258329,0.301477,0.275842,0.373499,0.251981,0.531129,0.495037,0.558053,0.374601,0.511928
550.000000,0.357061,0.399903,0.259066,0.301251,0.276036,0.374311,0.252166,0.531242,0.492524,0.558723,0.372396,0.514885
551.000000,0.356435,0.401897,0.258723,0.300662,0.276716,0.374857,0.252045,0.531292,0.493279,0.557012,0.372076,0.512088
552.000000,0.357522,0.402557,0.257037,0.301509,0.275695,0.374580,0.254132,0.529393,0.493387,0.556584,0.373841,0.513754
553.000000,0.356606,0.402583,0.260117,0.297843,0.275873,0.374232,0.254584,0.529987,0.492597,0.557340,0.372477,0.512849
554.000000,0.355818,0.400917,0.258507,0.299848,0.276031,0.374497,0.252738,0.529727,0.492925,0.555440,0.373287,0.512780
555.000000,0.355748,0.402470,0.259341,0.299782,0.277588,0.374514,0.252307,0.531840,0.492661,0.559584,0.373540,0.511514
556.000000,0.357179,0.402194,0.257793,0.301187,0.276135,0.375290,0.251927,0.532363,0.492831,0.557413,0.373479,0.513710
557.000000,0.358565,0.403798,0.258329,0.301552,0.274855,0.373728,0.252478,0.528514,0.492029,0.558091,0.374676,0.511498
558.000000,0.357124,0.400433,0.257575,0.298475,0.274879,0.373893,0.251875,0.532221,0.492106,0.556712,0.375364,0.511325
559.000000,0.356821,0.400632,0.259625,0.301280,0.276198,0.374626,0.252276,0.530715,0.492601,0.555579,0.373029,0.513909
560.000000,0.357200,0.400789,0.258645,0.298639,0.274911,0.373167,0.252733,0.531612,0.490595,0.558495,0.372354,0.514518
561.000000,0.358193,0.400558,0.258644,0.298610,0.274458,0.372284,0.251859,0.531075,0.494043,0.555890,0.373849,0.512038
562.000000,0.357078,0.400111,0.259577,0.299456,0.276635,0.374073,0.252019,0.531977,0.494687,0.557307,0.375066,0.513684
563.000000,0.356417,0.398189,0.259316,0.299310,0.276662,0.373333,0.251966,0.530712,0.492674,0.557344,0.373004,0.513452
564.000000,0.357901,0.400466,0.258864,0.298006,0.275586,0.372289,0.251775,0.529104,0.493144,0.556915,0.374229,0.512536
565.000000,0.357189,0.401218,0.256614,0.300149,0.276223,0.373954,0.251591,0.530325,0.493533,0.555995,0.372512,0.513933
566.000000,0.358260,0.400301,0.257275,0.300112,0.276092,0.374839,0.252733,0.530909,0.491099,0.556567,0.373339,0.512402
567.000000,0.356868,0.402674,0.256900,0.300418,0.276478,0.371730,0.250138,0.530137,0.493322,0.555701,0.372123,0.513049
568.000000,0.355419,0.400694,0.258563,0.298860,0.276452,0.374333,0.253419,0.530970,0.491934,0.557393,0.373261,0.511241
569.000000,0.355232,0.401912,0.257935,0.299182,0.273210,0.370723,0.251914,0.530203,0.494617,0.557087,0.373097,0.511245
570.000000,0.358205,0.400821,0.256301,0.299117,0.275544,0.372806,0.252322,0.529628,0.492100,0.556422,0.373784,0.513584
571.000000,0.358228,0.401322,0.257427,0.300760,0.276268,0.374992,0.252368,0.529090,0.493156,0.555801,0.374914,0.512922
572.000000,0.356273,0.400709,0.256044,0.296159,0.275304,0.372765,0.250865,0.529735,0.492027,0.558400,0.372706,0.512181
573.000000,0.356014,0.401730,0.257404,0.297956,0.275713,0.373124,0.250586,0.530281,0.494356,0.554912,0.371051,0.514182
574.000000,0.357800,0.400347,0.255718,0.298836,0.276389,0.373734,0.250395,0.528063,0.491598,0.554587,0.372803,0.514117
575.000000,0.355169,0.400714,0.257816,0.297660,0.275678,0.371190,0.251104,0.529186,0.493223,0.555965,0.373257,0.512602
576.000000,0.355314,0.400507,0.257575,0.298399,0.277061,0.372911,0.251973,0.527911,0.492628,0.555700,0.373109,0.510646
577.000000,0.356782,0.399774,0.259012,0.298441,0.276635,0.372832,0.250611,0.529230,0.492346,0.556964,0.372697,0.511925
578.000000,0.355668,0.400384,0.257855,0.297816,0.275342,0.374556,0.251721,0.530980,0.492106,0.556417,0.374287,0.511134
579.000000,0.355977,0.402128,0.256484,0.298441,0.275212,0.371380,0.248661,0.528529,0.491141,0.555700,0.372877,0.511982
580.000000,0.355733,0.399533,0.257620,0.298905,0.272507,0.372153,0.250558,0.530348,0.489148,0.556067,0.372575,0.510876
581.000000,0.356143,0.400130,0.255294,0.297937,0.274975,0.371521,0.252022,0.532420,0.492730,0.555940,0.371838,0.510531
582.000000,0.357115,0.400870,0.255615,0.297612,0.273890,0.371325,0.250592,0.530947,0.491082,0.557447,0.370802,0.509373
583.000000,0.355693,0.400650,0.256791,0.297788,0.275403,0.373393,0.249840,0.529545,0.492649,0.555478,0.372807,0.511705
584.000000,0.356135,0.399414,0.254174,0.297830,0.275270,0.372194,0.249915,0.530184,0.491734,0.554418,0.372648,0.509134
585.000000,0.353321,0.396907,0.256163,0.295976,0.275745,0.371507,0.247444,0.527865,0.492478,0.555166,0.371265,0.511000
586.000000,0.355195,0.399689,0.255042,0.298052,0.276373,0.371435,0.249357,0.527566,0.491967,0.552211,0.372197,0.511894
587.000000,0.354263,0.396829,0.256019,0.297008,0.274875,0.371274,0.251319,0.529067,0.488580,0.554652,0.372009,0.510348
588.000000,0.353741,0.400388,0.254687,0.298583,0.277101,0.371242,0.249569,0.529331,0.491531,0.555624,0.371436,0.509847
589.000000,0.353925,0.398951,0.256028,0.297769,0.274969,0.370322,0.249572,0.529914,0.490434,0.554972,0.371169,0.510715
590.000000,0.354300,0.399636,0.255454,0.298198,0.273337,0.371192,0.247586,0.528132,0.491794,0.554498,0.372264,0.509795
591.000000,0.355370,0.397582,0.256657,0.295859,0.273990,0.370947,0.248163,0.528769,0.491061,0.554669,0.371524,0.510638
592.000000,0.352935,0.396771,0.255074,0.296334,0.274080,0.370396,0.250856,0.528601,0.490901,0.554934,0.371043,0.509235
593.000000,0.354085,0.398415,0.254100,0.295290,0.274939,0.371147,0.250150,0.528170,0.489842,0.555055,0.370650,0.509967
594.000000,0.353348,0.397942,0.254411,0.295646,0.273288,0.371061,0.248097,0.528080,0.489005,0.553865,0.371252,0.509514
595.000000,0.353268,0.397294,0.253092,0.297412,0.273819,0.370083,0.248619,0.527140,0.489274,0.552876,0.372169,0.509622
596.000000,0.354344,0.397671,0.254607,0.297447,0.273831,0.370304,0.249070,0.528107,0.487681,0.550641,0.371305,0.511026
597.000000,0.353607,0.400142,0.254542,0.294600,0.273412,0.372403,0.247746,0.527846,0.488648,0.553680,0.370707,0.509331
598.000000,0.354115,0.397985,0.256157,0.295068,0.274531,0.372149,0.246775,0.527023,0.487515,0.552950,0.371090,0.509357
599.000000,0.352312,0.397963,0.252787,0.295216,0.274213,0.368746,0.248449,0.527929,0.487264,0.552305,0.371972,0.507930
600.000000,0.351438,0.397507,0.252846,0.295632,0.274581,0.368642,0.249002,0.528080,0.488521,0.551164,0.370915,0.508459
601.000000,0.351554,0.397878,0.252225,0.293027,0.272918,0.368240,0.248835,0.527506,0.488621,0.552500,0.370490,0.507620
602.000000,0.351641,0.395928,0.252682,0.292911,0.274276,0.370084,0.248923,0.525549,0.487716,0.550940,0.370662,0.507561
